fake_code,real_code,bias_type,bias_params,injected_ra_arcsec,injected_dec_arcsec,recovered_mean_ra_arcsec,recovered_mean_dec_arcsec,recovered_rms_ra_arcsec,recovered_rms_dec_arcsec,n_obs,n_objects,recovery_error_ra,recovery_error_dec,detection_snr_ra,detection_snr_dec,detected_ra,detected_dec,scenario,target_station,applied_bias,is_target
AA01,G96,StepChangeBias,"{'delta_ra_before': 0.0, 'delta_dec_before': 0.0, 'delta_ra_after': 0.4, 'delta_dec_after': -0.2, 'change_mjd': 59945.0}",0.0954180829367776,-0.0477090414683888,0.1662108535384733,-0.0412411671173318,0.3724750026910528,0.2176054049781788,14710,100,-0.0707927706016957,-0.0064678743510569,31.06990255811766,26.591164038655485,True,True,AA01_step,AA01,step,True
AA02,F52,,{},0.0,0.0,-0.0393559126439047,0.0071470722613154,0.2891652517655545,0.1942147842560426,6019,100,0.0393559126439047,-0.0071470722613154,0.0,0.0,True,True,AA01_step,AA01,step,False
AA03,703,,{},0.0,0.0,0.0843382563796608,0.0188172996072723,0.485492017910368,0.3809679203269238,11201,92,-0.0843382563796608,-0.0188172996072723,0.0,0.0,True,True,AA01_step,AA01,step,False
AA04,691,,{},0.0,0.0,0.1220753628129387,0.009218654978244,0.4539256052982945,0.3752487114998028,3214,97,-0.1220753628129387,-0.009218654978244,0.0,0.0,False,True,AA01_step,AA01,step,False
AA05,W84,,{},0.0,0.0,-0.0181665225280827,0.0242457689047424,0.2932508675383974,0.2503514264264768,354,31,0.0181665225280827,-0.0242457689047424,0.0,0.0,True,True,AA01_step,AA01,step,False
AA06,W68,,{},0.0,0.0,-0.0362437659633158,0.000328535792303,0.4322168148866865,0.3881923600672422,4780,57,0.0362437659633158,-0.000328535792303,0.0,0.0,True,True,AA01_step,AA01,step,False
AA07,T09,,{},0.0,0.0,0.1601964032739943,0.012312145285603,0.3359400288821249,0.2589602214712652,76,9,-0.1601964032739943,-0.012312145285603,0.0,0.0,False,True,AA01_step,AA01,step,False
AA08,V00,,{},0.0,0.0,0.0496697380293471,0.0435752810287468,0.4976144009803014,0.3799594035705282,470,66,-0.0496697380293471,-0.0435752810287468,0.0,0.0,True,True,AA01_step,AA01,step,False
AA00,F51,,{},0.0,0.0,0.0236496794917288,0.011953617990052,0.292784202640922,0.1956859018530914,11792,100,-0.0236496794917288,-0.011953617990052,0.0,0.0,True,True,AA01_dcr,AA01,dcr,False
AA01,G96,DCRBias,"{'bandpass_nm': 200.0, 'ref_wavelength_nm': 550.0}",0.0131497083774848,-0.1734422120505502,0.0839424667981996,-0.1669743376994938,0.3692346395175724,0.2755062687312024,14710,100,-0.0707927584207148,-0.0064678743510563,4.319366150856672,76.35362403380829,True,True,AA01_dcr,AA01,dcr,True
AA02,F52,,{},0.0,0.0,-0.0235044654121584,0.0078854593602045,0.2891160312321195,0.1944756517722127,6019,100,0.0235044654121584,-0.0078854593602045,0.0,0.0,True,True,AA01_dcr,AA01,dcr,False
AA03,703,,{},0.0,0.0,0.0844453900806606,0.0182575540871318,0.4918214396312182,0.3812255906088495,11201,92,-0.0844453900806606,-0.0182575540871318,0.0,0.0,True,True,AA01_dcr,AA01,dcr,False
AA04,691,,{},0.0,0.0,0.12473699459778,0.0062297133752426,0.4571889992650841,0.373893467045552,3214,97,-0.12473699459778,-0.0062297133752426,0.0,0.0,False,True,AA01_dcr,AA01,dcr,False
AA05,W84,,{},0.0,0.0,-0.0122476671325149,0.0418081260296028,0.305867351539128,0.2523371734140451,354,31,0.0122476671325149,-0.0418081260296028,0.0,0.0,True,True,AA01_dcr,AA01,dcr,False
